0-59-32_6-27-2023,-0.3333,-0.0810,0.000000,-0.405148
1-9-45_6-27-2023,-0.3333,0.0020,0.000000,0.000000
1-19-58_6-27-2023,-0.3333,0.0050,0.000000,0.000000
1-30-9_6-27-2023,-0.3333,0.1680,0.000000,0.000000
1-40-20_6-27-2023,-0.3333,0.2510,0.000000,0.000000
1-50-30_6-27-2023,-0.3333,0.3340,0.000000,0.000000
2-0-41_6-27-2023,-0.3333,0.4170,0.000000,0.000000
2-10-54_6-27-2023,-0.3333,0.5000,0.000000,0.000000
2-21-5_6-27-2023,-0.3333,0.5830,0.000000,0.000000
2-31-20_6-27-2023,0.0000,-0.0810,0.000000,-0.405148
2-41-30_6-27-2023,0.0000,0.0020,0.000000,0.000000
2-51-41_6-27-2023,0.0000,0.0050,0.000000,0.000000
3-1-52_6-27-2023,0.0000,0.1680,0.000000,0.000000
3-12-7_6-27-2023,0.0000,0.2510,0.000000,0.000000
3-22-19_6-27-2023,0.0000,0.3340,0.000000,0.000000
3-32-31_6-27-2023,0.0000,0.4170,0.000000,0.000000
3-42-42_6-27-2023,0.0000,0.5000,0.000000,0.000000
3-52-53_6-27-2023,0.0000,0.5830,0.000000,0.000000
4-6-35_6-27-2023,0.3333,-0.0810,0.000000,NaN
4-17-4_6-27-2023,0.3333,0.0020,0.114152,0.083190
4-27-26_6-27-2023,0.3333,0.0050,0.074934,-0.015964
4-37-45_6-27-2023,0.3333,0.1680,0.175040,0.762743
4-48-4_6-27-2023,0.3333,0.2510,0.060364,-0.228985
4-58-22_6-27-2023,0.3333,0.3340,0.101605,0.432217
5-8-42_6-27-2023,0.3333,0.4170,0.077299,0.283124
5-19-1_6-27-2023,0.3333,0.5000,0.106097,0.378157
5-29-20_6-27-2023,0.3333,0.5830,0.081147,-0.481371
5-43-8_6-27-2023,0.6200,-0.0810,0.000000,NaN
5-53-43_6-27-2023,0.6200,0.0020,0.161269,0.316565
6-4-17_6-27-2023,0.6200,0.0050,0.320174,1.466651
6-14-48_6-27-2023,0.6200,0.1680,0.028499,-0.316762
6-25-16_6-27-2023,0.6200,0.2510,0.209297,1.106304
6-35-44_6-27-2023,0.6200,0.3340,0.251923,1.280320
6-46-13_6-27-2023,0.6200,0.4170,0.253192,1.170237
6-56-46_6-27-2023,0.6200,0.5000,0.225843,1.027811
7-7-13_6-27-2023,0.6200,0.5830,0.249517,1.343600
7-20-57_6-27-2023,1.0000,-0.0810,0.000000,NaN
7-31-34_6-27-2023,1.0000,0.0020,0.194156,0.881842
7-42-4_6-27-2023,1.0000,0.0050,0.297887,1.371851
7-52-33_6-27-2023,1.0000,0.1680,0.143962,0.369500
8-3-2_6-27-2023,1.0000,0.2510,0.212386,1.121517
8-13-31_6-27-2023,1.0000,0.3340,0.099104,-0.176569
8-24-4_6-27-2023,1.0000,0.4170,0.278819,1.129236
8-34-33_6-27-2023,1.0000,0.5000,0.263963,1.265212
8-45-2_6-27-2023,1.0000,0.5830,0.276793,1.282485
8-58-55_6-27-2023,1.3333,-0.0810,0.000000,NaN
9-9-28_6-27-2023,1.3333,0.0020,0.291076,1.403704
9-19-60_6-27-2023,1.3333,0.0050,0.300249,1.353130
9-30-27_6-27-2023,1.3333,0.1680,0.110527,0.123694
9-41-17_6-27-2023,1.3333,0.2510,0.046268,-0.389205
9-51-44_6-27-2023,1.3333,0.3340,0.281186,1.078811
10-2-49_6-27-2023,1.3333,0.4170,0.285543,1.182375
10-13-19_6-27-2023,1.3333,0.5000,0.292439,1.279634
10-24-51_6-27-2023,1.3333,0.5830,0.296182,1.217343
10-38-28_6-27-2023,1.6667,-0.0810,0.000000,NaN
10-49-0_6-27-2023,1.6667,0.0020,0.135436,0.961840
10-59-29_6-27-2023,1.6667,0.0050,0.267417,1.317964
11-10-5_6-27-2023,1.6667,0.1680,0.069610,-0.061917
11-20-39_6-27-2023,1.6667,0.2510,0.271654,1.156094
11-31-6_6-27-2023,1.6667,0.3340,0.060755,-0.111780
11-41-35_6-27-2023,1.6667,0.4170,0.287122,1.118419
11-52-41_6-27-2023,1.6667,0.5000,0.281070,1.087948
0-3-10_6-27-2023,1.6667,0.5830,0.245425,1.182696
0-16-55_6-27-2023,2.0000,-0.0810,0.000000,NaN
0-27-26_6-27-2023,2.0000,0.0020,0.277667,1.410657
0-37-56_6-27-2023,2.0000,0.0050,0.291461,1.392596
0-48-26_6-27-2023,2.0000,0.1680,0.285158,0.837212
0-58-53_6-27-2023,2.0000,0.2510,0.310083,1.335389
1-9-22_6-27-2023,2.0000,0.3340,0.326462,1.369869
1-21-9_6-27-2023,2.0000,0.4170,0.259174,1.122748
1-31-39_6-27-2023,2.0000,0.5000,0.216102,1.247394
2-54-45_6-26-2023,2.0000,0.5830,0.272964,1.192305
3-8-40_6-26-2023,2.3333,-0.0810,0.000000,NaN
3-19-36_6-26-2023,2.3333,0.0020,0.278078,1.520275
3-30-24_6-26-2023,2.3333,0.0050,0.275980,1.257303
3-40-54_6-26-2023,2.3333,0.1680,0.195947,0.800274
3-51-23_6-26-2023,2.3333,0.2510,0.321935,1.294425
4-1-52_6-26-2023,2.3333,0.3340,0.219389,0.925946
4-12-22_6-26-2023,2.3333,0.4170,0.203314,0.793607
4-22-53_6-26-2023,2.3333,0.5000,0.271317,1.210640
4-33-22_6-26-2023,2.3333,0.5830,0.269615,1.287793
